Event Name,Description,Audience,Cycle,Email,Website,Date,Duration,Venue,City,Country
AREZZO SPOSI EXPO 2024,"Arezzo Wedding Fair. You will be able to personally meet the best exhibitors on the market, to better organize your wedding, with the support of wedding professionals and specialized companies",Public,twice a year,info@sposiexpo.it,http://www.sposiexpo.it/Arezzo2,2024-02-10,2,Sant'Agostino Convention Center,Arezzo,Italy
SALON MAISON & JARDIN DE VILLEFRANCHE-SUR-SAÔNE 2024,"Meet many local professionals specializing in construction, renovation, landscaping and gardening. The opportunity to discover the latest trends in landscaping and reinvent your interior",Public,once a year,exposer@l-e-o.fr,http://leopro.fr/salon-maison-jardin-villefranche,2024-02-09,3,Parc Expo Villefranche-sur-Saône,Villefranche-sur-Saône,France
FEHOVA 2024,"Fishing, Hunting & Arms International Exhibition. FEHOVA is the region’s most significant event among hunters and it is also the biggest fishing show in Hungary",Public,once a year,fehova@hungexpo.hu,http://www.fehova.hu/en,2024-02-08,4,Budapest Fair Centre,Budapest,Hungary
CHOCOA TRADE SHOW - AMSTERDAM 2024,Cocoa Trade Show & Chocolate Festival. Chocoa is an annual multiday event in Amsterdam aimed at promoting the consumption and production of sustainable cocoa and chocolate production and consumption,Public,once a year,kati@chocoa.nl,http://www.chocoa.nl/,2024-02-07,5,Beurs van Berlage,Amsterdam,Netherlands
SALON INTERNATIONAL DU TOURISME DE RENNES 2024,International Tourism Fair of Rennes,Public,once a year,info@safym.com,http://www.sit-rennes.com/,2024-02-09,3,Parc-Expo de Rennes-Aéroport,Rennes,France
NOLIA CAREER SUNDSVALL 2024,Sweden Fair for Education and Recruitment. Take the chance to meet tomorrow's students and employees throughout Norrland,Public,once a year,info@nolia.se,http://www.noliakarriar.se/nolia-karriar,2024-02-07,1,"Sporthallen, Sundsvall",Sundsvall,Sweden
OOHH! REISEN HAMBURG - CARAVANING HAMBURG 2024,"One of the largest and most important holiday trade fairs in north Germany. Tourism, caravaning, cycling, cruises, holiday photography, food and diving... Get advice from our experts",Public,once a year,info@hhmesse.de,http://www.messe-stuttgart.de/reisenhamburg/en,2024-02-07,5,Hamburg Messe und Congress,Hamburg,Germany
ENEX NEW ENERGY 2024,"Fair of Renewable Sources of Energy. Wind Energy, Solar Energy, Geothermal Energy, Hydro Energy, Biomass Energy. Technology for Extracting Energy and Heat from Renewable sources (bio-fuels, straw and wood boiler-rooms, geo-thermal sources of heat)...",Public,once a year,biuro@targikielce.pl,http://www.targikielce.pl/en/events,2024-02-07,2,Kielce Fairground,Kielce,Poland
ART UP! - LILLE 2024,European Contemporary Art Fair,Public,once a year,,http://www.art-up.com/,2024-02-08,4,Lille Grand Palais,Lille,France
SALON DE L'HABITAT DE COGNAC 2024,"Cognac housing fair. The Home Show will offer you layouts, equipment, decoration, construction and renovation: all the specialists will be brought together to advise you and guide you in your home projects",Public,once a year,exposer@l-e-o.fr,http://leopro.fr/salon-habitat-cognac,2024-02-09,3,Espace 3000,Cognac,France
ENEX 2024,"International Power Industry Fair. Generating, Transmission and Distribution of Energy; Machines and Plant for Power and Electrical Power Industry, Construction for Power Industry, Power Equipment Operation and modernization...",Public,once a year,biuro@targikielce.pl,http://www.targikielce.pl/en/events,2024-02-07,2,Kielce Fairground,Kielce,Poland
MOMAD METRÓPOLIS 2024,"International fashion, footwear and accessories trade show. MOMAD is the fashion's major trade fair in Spain, a unique space for fashion, footwear and accessories professionals to present & discover new collections, trends, brands & business opportunitie",Public,twice a year,metropolis@ifema.es,http://www.ifema.es/en/momad,2024-02-09,3,Ifema - Parque Ferial Juan Carlos I,Madrid,Spain
BELÉTAGE HAMBURG 2024,Exhibition for Fabrics & Design. The event offers a variety of products and assortments in the field of fabrics as well as privacy and sun protection,Public,once a year,beletage@expo-experts.at,http://www.beletage-expo.de/,2024-02-07,2,Kuppel Hamburg,Hamburg,Germany
SALON DES VINS ET DE LA GASTRONOMIE - VERTOU 2024,"The fairs « Vins & Gastronomie » offer artisans the opportunity to showcase their know-how and share their passion for good products with the public. Hundreds of producers, winegrowers, distributors and artisans in the catering trade",Public,once a year,salondesvinsetdelagastronomie@gl-events.fr,http://www.salons-vins-gastronomie.fr/fr/nos-evenements-salon,2024-02-09,4,Salle Sèvre et Maine,Vertou,France
HO.RE.CA. 2024,"International Hotel, Restaurant & Cafe Show",Public,once a year,info@forumsa.gr,http://www.horecaexpo.gr/en,2024-02-09,4,Athens Metropolitan Expo,Athens,Greece
BEACH & BOAT 2024,Water Sports Exhibition Leipzig,Public,once a year,info@leipziger-messe.de,http://www.beach-and-boat.de/en,2024-02-10,9,Exhibition Centre Leipzig,Leipzig,Germany
AGRO-PARK 2024,Agricultural Fair,Public,once a year,info@grupamtp.pl,http://www.mtp.pl/pl/kalendarium,2024-02-10,2,Trade and Exhibition Center - Targi Lublin,Lublin,Poland
BAUEN + WOHNEN SALZBURG 2024,"International Trade Fair for Building, Interior Design and Energy Saving",Public,once a year,salzburg.b-w@rxglobal.com,http://www.bauen-wohnen.co.at/en/home,2024-02-08,4,Messezentrum Salzburg (Salzburg Exhibition Centre),Salzburg,Austria
LES RENCONTRES AMRAE 2024,"The AMRAE Annual Conference. It provides companies, organizations, risk managers and insurance specialists with an opportunity to deal frankly with concrete management, risk financing and insurance-related problems",Public,once a year,contact@amrae-rencontres.fr,http://www.amrae-rencontres.fr/,2024-02-07,3,Centre International de Deauville,Deauville,France
THE SOURCE TRADE SHOW - EXETER 2024,"The Source is South West’s biggest and best show for all those with a keen interest in discovering the latest speciality foods, qualit y drinks, profitable catering and inspired hospitality",Public,once a year,mail@hale-events.com,http://thesourcetradeshow.co.uk/,2024-02-06,2,Westpoint Exhibition Centre,Exeter,UK - United Kingdom
NOLIA CAREER ÖSTERSUND 2024,Sweden Fair for Education and Recruitment. Take the chance to meet tomorrow's students and employees throughout Norrland,Public,once a year,info@nolia.se,http://www.noliakarriar.se/nolia-karriar,2024-02-08,1,"Sporthallen, Östersund",Östersund,Sweden
ACCESS MASTERS - MILAN 2024,ACCESS MBA is a communication campaign specifically designed to better inform prospective students of existing MBA opportunities. ACCESS MBA is a series of events organised around the world,Public,twice a year,ebonnet@accessmasterstour.com,http://www.accessmasterstour.com/events,2024-02-07,1,Milan,Milan,Italy
BISUTEX FERIA DE MADRID 2024,International reference fair for fashion Jewelry and accessories,Public,twice a year,info@eurobijoux.org,http://www.ifema.es/en/bisutex,2024-02-08,4,Ifema - Parque Ferial Juan Carlos I,Madrid,Spain
TOUREST 2024,International Tourism Fair,Public,once a year,info@etfl.ee,http://tourest.eu/eng,2024-02-08,3,Estonian Fairs Centre,Tallinn,Estonia
WAICF - CANNES 2024,"World Artificial Intelligence Festival of Cannes. Conference, Exhibition, Demos and more",Public,once a year,gtrapp@corp-agency.com,http://worldaicannes.com/,2024-02-08,3,Palais des Festivals de Cannes,Cannes,France
VIVING RENNES 2024,"Rennes Home Fair. Construction, renovation, promotion, financing, opening & closing, insulation, energy production, heating & air conditioning, decoration & furnishing, kitchen & bath, household art, exteriors, DIY",Public,once a year,contact@habitatexpo.fr,http://www.viving.fr/rennes,2024-02-09,3,Parc-Expo de Rennes-Aéroport,Rennes,France
WARSAW PLAST EXPO 2024,"Polish International Plastics and Rubber Fair. machinery and devices for processing of plastics and rubber, raw materials, semi-finished products and technical parts, services, research and science...",Public,once a year,info@warsawexpo.eu,http://warsawplastexpo.com/en,2024-02-07,3,Ptak Warsaw Expo,Warsaw,Poland
GARTENTRÄUME MAGDEBURG 2024,"Gardening Fair. Meet regional gardeners and landscapers. Discover the latest garden trends and technologies, the latest in outdoor furniture, plants and flowers, decoration ideas, gardening tips, accessories, etc.",Public,once a year,info@gartentraeume.com,http://www.gartentraeume.com/,2024-02-09,3,Messegelände Magdeburg,Magdeburg,Germany
MOSCOW DIVE SHOW 2024,"Specialized Diving Exhibition in Russia. Amongts Moscow Dive Show exhibitors will feature dive resorts, liveaboards manufacturers, red and tech diving gear products, freediving equipment, underwater photo and video equipment, spearfishing gear",Public,once a year,zdanovskiy@gmail.com,http://www.moscowdiveshow.ru/,2024-02-08,4,Gostiny Dvor - Moscow,Moscow,Russia
SALON MAISON NEUVE DE LA ROCHELLE 2024,"The Salon 'Maison Neuve' allows you to study your construction project: land search, analysis of your possibilities, study of financing, implementation of a schedule, management of the various construction actors... and to answer your questions",Public,once a year,exposer@l-e-o.fr,http://leopro.fr/salon-maison-neuve-la-rochelle,2024-02-09,3,Espace Encan,La Rochelle,France
SALON SEMINAIRES BUSINESS EVENTS DE LYON 2024,Tradeshow dedicated to the organisation of corporate events and event management industry,Public,once a year,contact@groupe-sbe.com,http://www.salonduseminaire.com/salon-de-lyon,2024-02-08,2,Matmut Stadium Gerland,Lyon,France
VENE BAT - HELSINKI INTERNATIONAL BOAT SHOW 2024,Helsinki International Boat Show,Public,once a year,customer.servive@messukeskus.com,http://vene.messukeskus.com/?lang=en,2024-02-09,10,Helsinki Fair Centre,Helsinki,Finland
ELEKTRONIKMÄSSAN 2024,"Trade Show dedicated to Electronic Products Design. At Elektronik, meet with over 100 local & national suppliers showing new products & ideas (Contract Manufacturing, Components, Test & Measurement, OEM, Connector, Batteries, PCB and Embedded Technology)",Public,once a year,scandinavia@easyfairs.com,http://www.easyfairs.com/,2024-02-07,2,MalmöMässan,Malmö,Sweden
AFFORDABLE ART FAIR - BRUSSELS 2024,"International Art Exhibition. Affordable Art Fair is the leading showcase for affordable, contemporary original art from galleries and dealers",Public,once a year,brussels@affordableartfair.com,http://www.affordableartfair.com/fairs,2024-02-07,5,Brussels Exhibition Centre,Brussels,Belgium
MOTORRAD MESSE LEIPZIG 2024,"Leipzig Motorcycle Fair. There are also spectacular sports demonstrations, motorcycle clothing, motorcycle accessories and information on motorcycle travel",Public,once a year,info@zweiradmessen.de,http://www.zweiradmessen.de/motorrad-messe-leipzig/besucherinfos,2024-02-09,3,Exhibition Centre Leipzig,Leipzig,Germany
FASTIGHETSMÄSSAN 2024,"Trade Show for the Scandinavian Real Estate Industry. Fastighetsmässan is an opportunity to quickly establish valuable contacts with property owners for apartments buildings, office buildings, commercial buildings, shopping malls, industrial properties",Public,every 2 years,scandinavia@easyfairs.com,http://www.fastighetsmassansyd.se/,2024-02-07,2,MalmöMässan,Malmö,Sweden
ACCESS MBA - GENEVA 2024,ACCESS MBA is a communication campaign specifically designed to better inform prospective students of existing MBA opportunities. ACCESS MBA is a series of events organised around the world,Public,twice a year,coutat@advent-communication.net,http://www.accessmba.com/tour,2024-02-10,1,Warwick Geneva,Geneve,Switzerland
FORUM WARZYWA 2024,"Trade Fair of Products, Equipment and Technologies for Vegetable Farming in Poland and the entire Central and Eastern European region",Public,once a year,info@warsawexpo.eu,http://forumwarzywa.com/en,2024-02-13,3,Ptak Warsaw Expo,Warsaw,Poland
STUDENT RECRUITMENT FAIRS NORWAY - OSLO 2024,Student Recruitment Fair in Norway,Public,once a year,info@universityfairs.com,http://universityfairs.com/fairs?maxPrice=0&inCountry=18&inRegion=0&level=0&subject=0,2024-02-14,2,Oslo Spektrum,Oslo,Norway
PIPELINE COATING EUROPE 2024,"Congress dedicated to Pipeline Coating. The forum for the steel pipeline community, exploring pipeline coatings, hydrogen transportation, new technology and markets",Public,once a year,consult@amiplastics-na.com,http://www.ami.international/events/upcoming,2024-02-13,3,"Austria Trend Hotel Savoyen, Vienna",Vienna,Austria
NORD GASTRO & HOTEL 2024,Husum Gastronomy and Hospitality Fair,Public,once a year,info@messehusum.de,http://www.nordgastro-hotel.de/,2024-02-12,2,Messe Husum,Husum,Germany
EROSEXPO CAEN 2024,Erotic Show and Exhibition,Public,once a year,eropolis@hotmail.fr,http://erosexpo.fr/,2024-02-10,2,Parc des expositions de Caen,Caen,France
F.RE.E 2024,Fair for Leisure and Travel. f.re.e is one of the most popular consumer exhibitions in southern Germany. It presents everything related to travel and recreation in all of its diversity,Public,once a year,nfo@messe-muenchen.de,http://www.free-muenchen.de/,2024-02-14,5,Fairground Messe München,Munich,Germany
SALON STUDYRAMA DE LA POURSUITE D’ETUDES ET MASTERS DE LYON 2024,Higher Education Fair,Public,once a year,salons@studyrama.com,http://www.studyrama.com/salons/salon-studyrama-de-la-poursuite-d-etudes-apres-un-bac-79300,2024-02-10,1,La Sucrière,Lyon,France
SCOOP X PURE 2024,"Scoop X Pure is a contemporary fashion trade show, offering an exclusive edit of forward thinking designers’ inspirational collections",Public,twice a year,maria@scoop-international.com,http://scoop-international.com/,2024-02-11,3,Olympia Exhibition Centre,London,UK - United Kingdom
ACCESS MBA - ZURICH 2024,ACCESS MBA is a communication campaign specifically designed to better inform prospective students of existing MBA opportunities. ACCESS MBA is a series of events organised around the world,Public,twice a year,coutat@advent-communication.net,http://www.accessmba.com/tour,2024-02-12,1,Zurich Marriott Hotel,Zurich,Switzerland
IFAM SLOVENIJA 2024,"IFAM is the leading B2B fair for automation, mechatronics, sensor technologies, measuring technologies, computer vision, etc. in Slovenia and the CEE region",Public,once a year,ifam@icm.si,http://icm.si/our-events,2024-02-13,3,Ljubljanski sejem - Ljubljana Exhibition and Convention Centre,Ljubljana,Slovenia
WINE PARIS & VINEXPO PARIS 2024,"International Wine & Spirits Exhibition. Bordeaux is hosting Vinexpo, the leading international wine and spirits event",Public,once a year,info@vinexposium.com,http://www.vinexposium.com/wineparis-vinexpo,2024-02-12,3,Paris Expo Porte de Versailles,Paris,France
PHARMACY EXPO 2024,"Polish International Pharmacy Trade Fair. Pharmacy Expo Poland is an event where companies showcase their pharmaceutical products and innovations. It’s a meeting place for industry representatives, doctors and research specialists",Public,once a year,info@warsawexpo.eu,http://pharmacyexpopoland.com/en,2024-02-13,3,Ptak Warsaw Expo,Warsaw,Poland
VIVANESS 2024,Trade fair for Natural Personal Care and Wellness,Public,once a year,info@nuernbergmesse.de,http://www.vivaness.de/,2024-02-13,4,Exhibition Centre Nuremberg,Nuremberg,Germany
NAUTIKA - ZAGREB BOAT SHOW 2024,Zagreb International Boat Show,Public,once a year,zv@zv.hr,http://www.zv.hr/default.aspx?id=1325,2024-02-14,5,Zagreb Fair,Zagreb,Croatia
MERCEDES-BENZ FASHION WEEK MADRID 2024,Madrid Fashion Show,Public,twice a year,lineaifema@ifema.es,http://www.ifema.es/en/mbfw-madrid,2024-02-14,5,Ifema - Parque Ferial Juan Carlos I,Madrid,Spain
FIMA AGRICOLA 2024,International Fair of Agricultural Machinery,Public,every 2 years,info@feriazaragoza.com,http://www.fima-agricola.com/,2024-02-13,5,Feria de Zaragoza,Zaragoza,Spain
BIOFACH 2024,The World Organic Show. Trade Fair & Congress,Public,once a year,iinfo@nuernbergmesse.de,http://www.biofach.de/,2024-02-13,4,Exhibition Centre Nuremberg,Nuremberg,Germany
AQUA FARM 2024,"Exhibition and Conference for Aquaculture, Algaculture and Vertical Farming",Public,once a year,infofiere@fierapordenone.it,http://www.aquafarm.show/,2024-02-14,2,Pordenone Fiere,Pordenone,Italy
EXECUTIVE HIRE SHOW 2024,"Executive Hire Show is an leading exhibition for the tools, equipment and plant hire industry",Public,once a year,ehsteam@executivehireshow.com,http://www.executivehireshow.co.uk/,2024-02-14,2,Ricoh Arena,Coventry,UK - United Kingdom
FORUM PISCINE 2024,Pool & Spa Expo and International Congress,Public,once a year,info@ilcampo.it,http://www.forumpiscine.it/en,2024-02-14,3,Bologna Exhibition Centre,Bologna,Italy
SALON STUDYRAMA DES FORMATIONS DU NUMÉRIQUE DE LYON 2024,"Digital training fair. The Studyrama Digital Training Fair is more than 200 specialized training courses in computer engineering, graphic design, visual communication, e-commerce or even e-marketing from Bac to Bac +5",Public,once a year,salons@studyrama.com,http://www.studyrama.com/salons/salon-studyrama-des-formations-du-numerique-de-lyon-231,2024-02-10,1,La Sucrière,Lyon,France
SALON VINIFRANCE - ORLÉANS 2024,"Orléans Wine Fair (France). Every year, the Salon des Vins de France welcomes many winegrowers and artisans from the food trades who come together to share their passion and present the best of their production",Public,once a year,evenements@centrefrance.com,http://www.salon-vinifrance.fr/,2024-02-10,2,Parc des expositions d'Orléans,Orleans,France
TB FORUM 2024,"Russian Physical Security Trade Show: Transport Security, Major Events, Oil & Gas, Energy, Industry, Construction, Banking & Finance...",Public,once a year,nshakova@groteck.ru,http://www.tbforum.ru/program,2024-02-13,3,Sokolniki park,Moscow,Russia
AGRO ANIMAL SHOW 2024,International exhibition of effective animal husbandry and poultry. Agro Animal Show is the biggest international-scale winter event in the sphere of animal husbandry and poultry,Public,once a year,agro@kmkya.kiev.ua,http://www.animal-show.kiev.ua/en,2024-02-14,3,Kiev International Exhibition Center,Kiev,Ukraine
"CARAVAN, CAMPING & MOTORHOME SHOW 2024","The Caravan, Camping & Motorhome Show has everything you need for your next adventure. With over 400 leading exhibitors offering their latest and most innovative products and services",Public,once a year,info@nccevents.co.uk,http://ccmshow.co.uk/,2024-02-13,6,National Exhibition Centre,Birmingham,UK - United Kingdom
GREEN DAYS 2024,Polish largest Horticulture and Landscape Architecture Fair,Public,once a year,info@warsawexpo.eu,http://greendaysexpo.com/en,2024-02-14,3,Ptak Warsaw Expo,Warsaw,Poland
GRAIN TECH EXPO 2024,"Grain Tech Expo is the largest agro-industrial exhibition forum taking the leading place in the agricultural sector of Ukraine as a complex of innovative solutions for fodder production, processing, storing and transporting grains, legumes and oil-bearing",Public,once a year,agro@kmkya.kiev.ua,http://www.grainexpo.com.ua/en,2024-02-14,3,Kiev International Exhibition Center,Kiev,Ukraine
EXCELSIOR 2024,Nineteenth Century Show of Italian Art,Public,once a year,info@studiolobo.it,http://www.modenantiquaria.it/,2024-02-10,9,Modena Fiere,Modena,Italy
INTRONIKA SLOVENIA 2024,International Trade Fair for Industrial & Professional Electronic,Public,once a year,intronika@icm.si,http://icm.si/our-events,2024-02-13,3,Ljubljanski sejem - Ljubljana Exhibition and Convention Centre,Ljubljana,Slovenia
HAUS-GARTEN-FREIZEIT 2024,Home - Garden - Leisure,Public,once a year,info@leipziger-messe.de,http://www.haus-garten-freizeit.de/,2024-02-10,9,Exhibition Centre Leipzig,Leipzig,Germany
ROBOTICS 2024,Robotics is an international trade fair dedicated to industrial robotics and unmanned systems. Robotics offers the exhibitors a platform for presenting their range of robot technologies in both industrial and service robots sectors,Public,once a year,info@icm.si,http://icm.si/our-events,2024-02-13,3,Ljubljanski sejem - Ljubljana Exhibition and Convention Centre,Ljubljana,Slovenia
ZAGREB BOAT SHOW 2024,"Zabreb Boat Show will present world producers of boats, yachts, sailing boats, speedboats, scooters, kayaks, dinghies, marine engines and outboard motors, clothing and footwear, equipment and accessories for diving, fishing, sailing and other water sports",Public,once a year,zv@zv.hr,http://www.zv.hr/fairs-2863/zagreb-boat-show-3150/3150,2024-02-14,5,Zagreb Fair,Zagreb,Croatia
MITTELDEUTSCHE HANDWERKSMESSE 2024,One of Germany's leading Craft Fairs,Public,once a year,info@leipziger-messe.de,http://www.handwerksmesse-leipzig.de/,2024-02-10,9,Exhibition Centre Leipzig,Leipzig,Germany
EDUCATION. JOB AND CAREER 2024,"Education, Job and Career Exhibition. The exhibition targets wide audience – pupils, students, teachers, parents",Public,once a year,artem@krasfair.ru,http://www.krasfair.ru/events,2024-02-14,3,Siberia International Exhibition Business Centre,Krasnoyarsk,Russia
AQUAFARM 2024,"International Exhibition and Conference for Aquaculture, algaculture, Vertical Farming and Fishing Industry",Public,once a year,info@upmarketsrl.it,http://www.aquafarm.show/?lang=en,2024-02-14,2,Pordenone Fiere,Pordenone,Italy
PURE LONDON 2024,"Womenswear Trade Fair. Pure London is the UK’s fashion event for contemporary & directional womenswear, attracting visitors who come to place orders, pick up trend information and to be inspired. The show offers retailers over 800 international brands",Public,twice a year,pure.london@hyve.group,http://www.purelondon.com/,2024-02-11,3,Olympia Exhibition Centre,London,UK - United Kingdom
GOVERNMENTAL BEEKEEPING FAIR 2024,Beekeeping Fair. Beekeeping equipment manufacturers feature their accomplishments,Public,once a year,info@sajam.rs,http://sajam.rs/en,2024-02-10,2,Belgrade Fair Grounds,Belgrade,Serbia
HUNTING AND FISHING EQUIPMENT FAIR 2024,Hunting and Fishing Equipment Fair,Public,once a year,zv@zv.hr,http://www.zv.hr/en,2024-02-14,5,Zagreb Fair,Zagreb,Croatia
FIRENZE HOME TEXSTYLE 2024,"Firenze International Fair for Home and decorative Textiles. Firenze Home Texstyle welcomes buyers, interior designers, concept stores, textile stores, journalists, influencers, and manufacturing companies",Public,once a year,TexStyle@firenzefiera.it,http://firenzehometexstyle.com/en,2024-02-10,3,Fortezza da Basso,Florence,Italy
SALON STUDYRAMA SUP’ALTERNANCE DE LYON 2024,Apprenticeship & part-time training expo in Lyon,Public,once a year,salons@studyrama.com,http://www.studyrama.com/salons/salon-studyrama-sup-alternance-de-lyon-73,2024-02-10,1,La Sucrière,Lyon,France
WINE PARIS 2024,"Nternational Wine Fair in Paris, resulting from the union of VINISUD (Mediterranean Wine Fair) and VINOVISION (Northern Wine Fair)",Public,once a year,info@wineparis-vinexpo.com,http://en.wineparis.com/,2024-02-12,3,Paris Expo Porte de Versailles,Paris,France
CUCINARE 2024,The great show for cooking enthusiasts and catering professionals in northeastern Italy,Public,once a year,infofiere@fierapordenone.it,http://www.cucinare.pn/,2024-02-10,3,Pordenone Fiere,Pordenone,Italy
KYIVBUILD UKRAINE 2024,The leading exhibition in Ukraine’s building market showcasing all the developments and achievements in the industry. KyivBuild covers all major sectors of the building and construction industry in Ukraine,Public,once a year,info@pe.com.ua,http://www.worldbuild-kiev.com.ua/,2024-02-14,3,Kiev International Exhibition Center,Kiev,Ukraine
SALON DES COLLECTIONNEURS - MULHOUSE 2024,"Exhibition for Collectors, the World of Perfume, Jewelry, Postcards, Philately, Numismatics, Old Toys and Games, Vinyl Records, Arts and Design, Antiques, Quality Flea Market and Various Collections",Public,twice a year,gerard.keller68@orange.fr,http://www.collectiana.org/club-multicollections-mulhouse.html,2024-02-11,1,Mulhouse - Parc des Expositions,Mulhouse,France
WORLDBUILD KIEV 2024,Ukraine International Building & Construction Exhibition,Public,once a year,uitt@pe.com.ua,http://www.worldbuild-kiev.com.ua/,2024-02-14,3,Kiev International Exhibition Center,Kiev,Ukraine
MODENANTIQUARIA 2024,Prized Antiques Exhibition Show,Public,once a year,info@studiolobo.it,http://www.modenantiquaria.it/,2024-02-10,9,Modena Fiere,Modena,Italy
PURE ORIGIN 2024,Pure Origin is a convenient and cost-effective route to market for numerous Garment & Fabric Sourcing suppliers and manufacturers both from the UK and around the world,Public,twice a year,pure.london@hyve.group,http://www.purelondon.com/pure-origin,2024-02-11,3,Olympia Exhibition Centre,London,UK - United Kingdom
FRUIT. VEGETABLES. LOGISTICS 2024,"Fruits. Vegetables. Logistics is the largest in Ukraine exhibition project of modern agricultural technologies in vegetable production, horticulture and viticulture industry, presentation technology and investment potential of fruit and vegetable industry",Public,once a year,agro@kmkya.kiev.ua,http://www.freshexpo.kiev.ua/en,2024-02-14,3,Kiev International Exhibition Center,Kiev,Ukraine
PETRA 2024,"Antiques Show for Parks, Gardens and Renovations",Public,once a year,info@studiolobo.it,http://www.modenantiquaria.it/,2024-02-10,9,Modena Fiere,Modena,Italy
KABO 2024,Central European Fair of Footwear and Leatherware,Public,twice a year,kabo@bvv.cz,http://www.bvv.cz/en/calendar-of-trade-fairs-events,2024-02-17,3,Brno Exhibition Centre,Brno,Czech Republic
HUISHOUDBEURS 2024,Homes and Interior Exhibition,Public,once a year,huishoudbeursinfo@rai.nl,http://www.huishoudbeurs.nl/,2024-02-17,7,RAI International Exhibition and Congress Centre,Amsterdam,Netherlands
SALON DES ANTIQUAIRES ET ART CONTEMPORAIN 2024,Nancy Antiques & Contemporary Art Fair,Public,once a year,info@grandnancy-congresetevenements.com,http://www.salonhabitatdeco-nancy.com/,2024-02-15,5,Parc des Expositions de Nancy,Nancy,France
SALON DES VINS DES VIGNERONS INDÉPENDANTS - STRASBOURG 2024,"Wine fair for independent winegrowers. At the Vignerons Indépendants wine fairs, you will meet the winegrowers themselves who, each with their own words, will tell you about their story, their wine, their profession",Public,once a year,manifestations@vigneron-independant.com,http://www.vigneron-independant.com/salons-list,2024-02-16,4,Parc des expositions de Strasbourg,Strasbourg,France
PISCINE JARDIN & UNIVERS MAISON 2024,"Swimming pool, garden and interior decoration exhibition",Public,once a year,contact@safim.com,http://www.salonpiscineetjardin.com/,2024-02-16,4,Parc Chanot,Marseille,France
SALON VINIFRANCE - LIMOGES 2024,"Limoges Wine Fair (France). Every year, the Salon des Vins de France welcomes many winegrowers and artisans from the food trades who come together to share their passion and present the best of their production",Public,once a year,evenements@centrefrance.com,http://www.salon-vinifrance.fr/,2024-02-16,3,Parc des expositions de Limoges,Limoges,France
SALON HABITAT DÉCO NANCY 2024,Nancy Home & Design Show,Public,once a year,info@grandnancy-congresetevenements.com,http://www.salonhabitatdeco-nancy.com/,2024-02-15,5,Parc des Expositions de Nancy,Nancy,France
FOR THERM 2024,"Trade Fair of Heating, Alternative Sources of Energy and Air Conditioning",Public,once a year,gr@abf.cz,http://www.for-therm.cz/,2024-02-15,3,PVA Letnany - Prague Exhibition Centre Letnany,Prague,Czech Republic
"SALON DE L'APPRENTISSAGE, DE L'ALTERNANCE ET DES MÉTIERS DE ROUEN 2024","Exhibition of apprenticeship, work-study and trades",Public,once a year,info@letudiant.fr,http://salon-apprentissage-alternance-et-metiers-rouen.salon.letudiant.fr/,2024-02-17,1,Parc des expositions de Rouen,Rouen,France
SALON STUDYRAMA DE LA POURSUITE D’ÉTUDES ET MASTERS DE TOULON 2024,Higher Education Fair,Public,once a year,salons@studyrama.com,http://www.studyrama.com/salons/salon-studyrama-de-la-poursuite-d-etudes-et-masters-de-toulon-128,2024-02-17,1,Palais des Congrès Neptune,Toulon,France
SALON STUDYRAMA DES ETUDES SUPÉRIEURES ET DE L’ALTERNANCE DE NANTES 2024,Student Fair and part-time training expo in Nantes,Public,once a year,salons@studyrama.com,http://www.studyrama.com/salons/salon-studyrama-des-etudes-superieures-et-de-l-224,2024-02-17,1,Exponantes - La Beaujoire,Nantes,France
SALON DES MÉTIERS DU NUMÉRIQUE DE LILLE 2024,Fair for students wanting to persue their careers in the digital business industry,Public,once a year,info@letudiant.fr,http://www.studyrama.com/salons/salon-studyrama-des-formations-du-numerique-de-lille-230,2024-02-17,1,La Cité des Echanges,Lille,France
SALON STUDYRAMA DES ETUDES SUPÉRIEURES ET DE L’ALTERNANCE DE TOULON 2024,Student Fair and part-time training expo in Toulon,Public,once a year,salons@studyrama.com,http://www.studyrama.com/salons/salon-studyrama-des-etudes-superieures-et-de-l-127,2024-02-17,1,Palais des Congrès Neptune,Toulon,France
"SALON DE L'APPRENTISSAGE, DE L'ALTERNANCE ET DES MÉTIERS DE AMIENS 2024","Exhibition of apprenticeship, work-study and trades",Public,once a year,info@letudiant.fr,http://salon-apprentissage-alternance-et-metiers-amiens.salon.letudiant.fr/,2024-02-16,2,MégaCité,Amiens,France
IMOT MÜNCHEN 2024,International Motorcycle Exhibition,Public,once a year,info@messe-muenchen.de,http://www.imot.de/,2024-02-16,3,"M,O,C,",Munich,Germany
HORECA EQUIPMENT FAIR 2024,International Fair of the Hotel and Catering Equipment,Public,once a year,turizam@sajam.rs,http://sajam.rs/en,2024-02-22,4,Belgrade Fair Grounds,Belgrade,Serbia
SALON STUDYRAMA DES FORMATIONS DU NUMÉRIQUE DE LILLE 2024,"Digital training fair. The Studyrama Digital Training Fair is more than 200 specialized training courses in computer engineering, graphic design, visual communication, e-commerce or even e-marketing from Bac to Bac +5",Public,once a year,salons@studyrama.com,http://www.studyrama.com/salons/salon-studyrama-des-formations-du-numerique-de-lille-230,2024-02-17,1,La Cité des Echanges,Lille,France
